iter	Passed	Remaining
0	56	28386
1	64	16109
2	76	12709
3	90	11183
4	103	10212
5	114	9466
6	128	9073
7	141	8680
8	155	8478
9	170	8355
10	186	8299
11	200	8160
12	218	8166
13	232	8065
14	248	8049
15	259	7848
16	269	7651
17	276	7415
18	286	7247
19	294	7076
20	307	7020
21	320	6971
22	338	7029
23	353	7011
24	366	6968
25	378	6899
26	388	6797
27	400	6742
28	410	6669
29	422	6625
30	431	6521
31	439	6423
32	446	6322
33	453	6217
34	462	6150
35	471	6082
36	481	6028
37	491	5980
38	499	5899
39	507	5839
40	515	5772
41	525	5730
42	532	5661
43	540	5600
44	548	5540
45	557	5497
46	565	5449
47	576	5427
48	586	5401
49	596	5367
50	608	5356
51	619	5338
52	629	5307
53	640	5289
54	653	5287
55	664	5265
56	675	5250
57	687	5237
58	701	5245
59	713	5233
60	724	5213
61	735	5197
62	747	5183
63	754	5136
64	762	5103
65	774	5090
66	784	5070
67	798	5073
68	810	5060
69	820	5037
70	828	5006
71	837	4976
72	845	4948
73	858	4945
74	870	4933
75	882	4921
76	893	4907
77	902	4881
78	911	4857
79	919	4828
80	929	4809
81	940	4793
82	949	4771
83	959	4752
84	968	4730
85	978	4711
86	987	4687
87	996	4667
88	1003	4635
89	1013	4616
90	1021	4591
91	1029	4566
92	1038	4545
93	1045	4517
94	1055	4498
95	1062	4472
96	1070	4448
97	1078	4423
98	1087	4404
99	1094	4377
100	1102	4355
101	1112	4342
102	1121	4324
103	1130	4304
104	1138	4284
105	1145	4258
106	1153	4238
107	1162	4220
108	1172	4206
109	1182	4190
110	1191	4175
111	1202	4166
112	1215	4162
113	1227	4156
114	1236	4140
115	1245	4124
116	1255	4110
117	1266	4101
118	1279	4095
119	1290	4087
120	1303	4083
121	1318	4083
122	1329	4074
123	1342	4070
124	1353	4061
125	1361	4042
126	1373	4034
127	1381	4015
128	1393	4007
129	1406	4001
130	1419	3998
131	1430	3988
132	1440	3973
133	1448	3957
134	1458	3942
135	1469	3932
136	1482	3928
137	1495	3923
138	1510	3922
139	1518	3904
140	1528	3892
141	1540	3882
142	1553	3877
143	1567	3874
144	1579	3867
145	1589	3853
146	1597	3837
147	1610	3829
148	1617	3811
149	1627	3796
150	1637	3783
151	1650	3779
152	1662	3771
153	1675	3763
154	1683	3746
155	1693	3735
156	1706	3727
157	1715	3713
158	1724	3699
159	1738	3694
160	1749	3683
161	1763	3680
162	1775	3671
163	1787	3662
164	1798	3651
165	1807	3636
166	1816	3621
167	1826	3609
168	1837	3599
169	1846	3584
170	1858	3575
171	1869	3564
172	1878	3550
173	1888	3537
174	1895	3519
175	1902	3502
176	1909	3484
177	1915	3465
178	1921	3446
179	1928	3427
180	1935	3411
181	1942	3394
182	1948	3375
183	1955	3357
184	1963	3342
185	1970	3326
186	1982	3317
187	1992	3307
188	2001	3292
189	2013	3284
190	2022	3271
191	2032	3261
192	2044	3251
193	2053	3238
194	2061	3224
195	2069	3209
196	2076	3194
197	2087	3184
198	2100	3177
199	2109	3164
200	2120	3154
201	2132	3146
202	2144	3138
203	2156	3128
204	2166	3117
205	2174	3103
206	2183	3090
207	2194	3080
208	2204	3068
209	2215	3059
210	2226	3049
211	2235	3036
212	2248	3029
213	2262	3024
214	2274	3015
215	2288	3008
216	2298	2998
217	2308	2985
218	2317	2974
219	2329	2965
220	2341	2955
221	2350	2943
222	2361	2932
223	2368	2918
224	2376	2904
225	2385	2892
226	2395	2880
227	2405	2869
228	2416	2859
229	2433	2856
230	2465	2871
231	2489	2875
232	2511	2878
233	2532	2878
234	2547	2872
235	2576	2882
236	2595	2880
237	2605	2868
238	2618	2859
239	2631	2850
240	2645	2842
241	2654	2829
242	2664	2818
243	2678	2810
244	2697	2807
245	2709	2797
246	2720	2786
247	2735	2779
248	2752	2775
249	2764	2764
250	2776	2754
251	2787	2743
252	2799	2732
253	2812	2723
254	2822	2711
255	2833	2700
256	2843	2688
257	2856	2679
258	2868	2669
259	2876	2655
260	2885	2642
261	2895	2630
262	2904	2617
263	2915	2606
264	2926	2594
265	2937	2584
266	2949	2573
267	2961	2564
268	2975	2554
269	2983	2541
270	2992	2528
271	2997	2512
272	3003	2497
273	3011	2483
274	3019	2470
275	3029	2459
276	3039	2446
277	3046	2433
278	3053	2418
279	3059	2404
280	3066	2389
281	3072	2375
282	3079	2361
283	3087	2347
284	3097	2336
285	3106	2324
286	3119	2315
